10-000-maniacs--a-campfire-song	10,000 Maniacs	A Campfire Song
aaliyah--try-again	Aaliyah	Try Again
aaron-neville--for-the-good-times	Aaron Neville	For the Good Times
aaron-neville--tell-it-like-it-is	Aaron Neville	Tell It Like It Is
aaron-neville--the-grand-tour	Aaron Neville	The Grand Tour
abba--andante-andante	ABBA	Andante, Andante
abba--angeleyes	ABBA	Angeleyes
abba--another-town-another-train	ABBA	Another Town, Another Train
abba--chiquitita	Abba	Chiquitita
abba--dance	ABBA	Dance (While the Music Still Goes on)
abba--dancing-queen	ABBA	Dancing Queen
abba--does-your-mother-know	ABBA	Does Your Mother Know
abba--eagle	ABBA	Eagle
abba--fernando	Abba	Fernando
abba--gimme-gimme-gimme	ABBA	Gimme! Gimme! Gimme!
abba--hamlet-iii-part-2	ABBA	Hamlet III, Part 2
abba--hasta-manana	ABBA	Hasta Manana
abba--hey-hey-helen	ABBA	Hey, Hey Helen
abba--hole-in-your-soul	ABBA	Hole In Your Soul
abba--honey-honey	Abba	Honey, Honey
abba--i-am-the-city	ABBA	I Am the City
abba--i-do-i-do-i-do-i-do	ABBA	I Do, I Do, I Do, I Do
abba--i-have-a-dream	ABBA	I Have a Dream
abba--i-m-a-marionette	ABBA	I'm a Marionette
abba--i-wonder	ABBA	I Wonder (Departure)
abba--just-like-that	ABBA	Just Like That (Full Sax version) (1983)
abba--kisses-of-fire	ABBA	Kisses of Fire
abba--knowing-me-knowing-you	Abba	Knowing Me, Knowing You
abba--lay-all-your-love-on-me	ABBA	Lay All Your Love on Me
abba--like-an-angel-passing-through-my-room	ABBA	Like an Angel Passing Through My Room
abba--lovers	ABBA	Lovers (Live a Little Longer)
abba--mamma-mia	ABBA	Mamma Mia
abba--medley	ABBA	Medley
abba--money-money-money	ABBA	Money, Money, Money
abba--move-on	ABBA	Move On
abba--my-love-my-life	ABBA	My Love My Life
abba--name-of-the-game	ABBA	Name of the Game
abba--nina-pretty-ballerina	ABBA	Nina Pretty Ballerina
abba--on-and-on-and-on	Abba	On And On And On
abba--one-of-us	ABBA	One Of Us
abba--opus-10	ABBA	Opus 10
abba--rock-me	ABBA	Rock Me
abba--s-o-s	ABBA	S.O.S
abba--summer-night-city	ABBA	Summer Night City
abba--super-trooper	ABBA	Super Trooper
abba--super-trouper	ABBA	Super Trouper
abba--take-a-chance-on-me	Abba	Take A Chance On Me
abba--thank-you-for-the-music	ABBA	Thank You for the Music
abba--that-s-me	ABBA	That's Me
abba--the-visitors	ABBA	The Visitors
abba--the-winner-takes-it-all	ABBA	The Winner Takes It All
abba--tiger	ABBA	Tiger
abba--two-for-the-price-of-one	ABBA	Two for the Price of One
abba--voulez-vous	ABBA	Voulez Vous
abba--waterloo	ABBA	Waterloo
abba--why-did-it-have-to-be-me	ABBA	Why Did It Have to Be Me
abc--4-ever-2-gether	ABC	4 Ever 2 Gether
abc--look-of-love-part-1	ABC	Look of Love, Part 1
abc--poison-arrow	ABC	Poison Arrow
ac-dc--back-in-black	AC DC	Back In Black
ac-dc--dirty-deeds-done-dirt-cheap	AC DC	Dirty Deeds Done Dirt Cheap
ac-dc--for-those-about-to-rock	AC DC	For Those About To Rock (We Salute You)
ac-dc--highway-to-hell	AC DC	Highway To Hell
ac-dc--r-i-p	AC DC	R.I.P. (Rock in Peace)
ac-dc--thunderstruck	AC DC	Thunderstruck
ac-dc--tnt	AC DC	TNT
ac-dc--who-made-who	AC DC	Who Made Who
ac-dc--whole-lotta-rosie	AC DC	Whole Lotta Rosie
ac-dc--you-shook-me-all-night-long	AC DC	You Shook Me All Night Long
ace--how-long	Ace	How Long
ace-frehley--new-york-groove	Ace Frehley	New York Groove
ace-of-base--all-that-she-want-s	Ace of Base	All That She Want's
ace-of-base--always-have-always-will	Ace of Base	Always Have, Always Will
ace-of-base--beautiful-life	Ace of Base	Beautiful Life
ace-of-base--don-t-turn-around	Ace of Base	Don't Turn Around
ace-of-base--happy-nation	Ace of Base	Happy Nation
ace-of-base--life-is-a-flower	Ace of Base	Life Is a Flower
ace-of-base--living-in-danger	Ace of Base	Living in Danger
ace-of-base--lucky-love	Ace of Base	Lucky Love
ace-of-base--the-sign	Ace of Base	The Sign
ace-of-base--wheel-of-fortune	Ace of Base	Wheel of Fortune
acoustic-alchemy--the-blue-chip-bop	Acoustic Alchemy	The Blue Chip Bop
adam-eve--wenn-die-sonne-erwacht-in-den-bergen	Adam & Eve	Wenn die Sonne erwacht in den Bergen
adamo--affida-una-lacrima-al-vento	Adamo	Affida una lacrima al vento
adamo--aline	Adamo	Aline (I Want to Be Free)
adamo--lei	Adamo	Lei
adamo--mis-manos-en-tu-cintura	Adamo	Mis manos en tu cintura
adamo--non-mi-tenere-il-broncio	Adamo	Non mi tenere il Broncio
adamo--non-sei-tu	Adamo	Non sei tu (Si jamais)
adamo--sans-toi-ma-mie	Adamo	Sans toi, ma mie
adamo--una-ciocca-di-capelli	Adamo	Una ciocca di capelli
adamski--love-and-life	Adamski	Love and Life
adiemus--kayama	Adiemus	Kayama
adriano-celentano--azzurro	Adriano Celentano	Azzurro
adriano-celentano--una-carezza-in-un-pugno	Adriano Celentano	Una carezza in un pugno
adriano-celentano--una-festa-sui-prati	Adriano Celentano	Una festa sui prati
adventures-of-stevie-v--dirty-cash	Adventures of Stevie V.	Dirty Cash (Dime and Dollar mix)
aerosmith--amazing	Aerosmith	Amazing
aerosmith--angel	Aerosmith	Angel
aerosmith--blind-man	Aerosmith	Blind Man
aerosmith--boogie-man	Aerosmith	Boogie Man
aerosmith--crazy	Aerosmith	Crazy
aerosmith--cryin	Aerosmith	Cryin'
aerosmith--dream-on	Aerosmith	Dream On
aerosmith--dude	Aerosmith	Dude (Looks Like A Lady)
aerosmith--eat-the-rich	Aerosmith	Eat the Rich
aerosmith--falling-in-love	Aerosmith	Falling in Love (Is Hard on the Knees)
aerosmith--fly-away-from-here	Aerosmith	Fly Away From Here
aerosmith--helter-skelter	Aerosmith	Helter Skelter
aerosmith--hole-in-my-soul	Aerosmith	Hole in My Soul
aerosmith--i-don-t-want-to-miss-a-thing	Aerosmith	I Don't Want to Miss a Thing
aerosmith--janie-s-got-a-gun	Aerosmith	Janie's Got a Gun
aerosmith--kings-and-queens	Aerosmith	Kings and Queens
aerosmith--last-child	Aerosmith	Last Child
aerosmith--livin-on-the-edge	Aerosmith	Livin' on the Edge
aerosmith--pink	Aerosmith	Pink
aerosmith--seasons-of-wither	Aerosmith	Seasons of Wither
aerosmith--sweet-emotion	Aerosmith	Sweet Emotion
aerosmith--the-other-side	Aerosmith	The Other Side
aerosmith--walk-this-way	Aerosmith	Walk This Way
aerosmith--what-it-takes	Aerosmith	What It Takes
air-supply--all-out-of-love	Air Supply	All Out Of Love
air-supply--come-what-may	Air Supply	Come What May
air-supply--even-the-nights-are-better	Air Supply	Even the Nights Are Better
air-supply--goodbye	Air Supply	Goodbye
air-supply--making-love-out-of-nothing-at-all	Air Supply	Making Love Out of Nothing at All
air-supply--she-never-heard-me-call	Air Supply	She Never Heard Me Call
air-supply--two-less-lonely-people-in-the-world	Air Supply	Two Less Lonely People in the World
al-bano--felicita	AL Bano	Felicita
al-green--let-s-stay-together	Al Green	Let's Stay Together
al-green--oh-me-oh-my	Al Green	Oh Me, Oh My (Dreams In My Arms)
al-hirt--frankie-and-johnny	Al Hirt	Frankie and Johnny
al-hirt--when-the-saints-go-marching-in	Al Hirt	When the Saints Go Marching In
al-jarreau--moonlighting	Al Jarreau	Moonlighting (Theme)
al-jarreau--mornin	Al Jarreau	Mornin'
al-jarreau--roof-garden	Al Jarreau	Roof Garden
al-jarreau--we-re-in-this-love-together	Al Jarreau	We're in This Love Together
al-jolson--you-made-me-love-you	Al Jolson	You Made Me Love You
al-martino--blue-spanish-eyes	Al Martino	Blue Spanish Eyes
al-martino--spanish-eyes	Al Martino	Spanish Eyes
al-martino--volare	Al Martino	Volare
al-stewart--on-the-border	Al Stewart	On The Border
al-stewart--the-year-of-the-cat	Al Stewart	The Year of the Cat
al-stewart--time-passages	Al Stewart	Time Passages
al-wilson--show-and-tell	Al Wilson	Show and Tell
alabama--angels-among-us	Alabama	Angels Among Us
alabama--born-country	Alabama	Born Country
alabama--fallin-again	Alabama	Fallin' Again
alabama--feels-so-right	Alabama	Feels So Right
alabama--high-cotton	Alabama	High Cotton
alabama--how-do-you-fall-in-love	Alabama	How Do You Fall in Love
alabama--i-m-in-a-hurry	Alabama	I'm in a Hurry
alabama--jubilee	Alabama	Jubilee
alabama--jukebox-in-my-mind	Alabama	Jukebox in My Mind
alabama--lady-down-on-love	Alabama	Lady Down On Love
alabama--love-in-the-first-degree	Alabama	Love In The First Degree
alabama--rain	Alabama	Rain
alabama--red-river	Alabama	Red River
alabama--roll-on	Alabama	Roll On (Eighteen Wheeler)
alabama--she-and-i	Alabama	She and I
alabama--t-l-c-a-s-a-p	Alabama	T.L.C. A.S.A.P.
alabama--take-me-down	Alabama	Take Me Down
alabama--tennessee-river	Alabama	Tennessee River
alabama--the-closer-you-get	Alabama	The Closer You Get
alabama--then-again	Alabama	Then Again
alabama--when-we-make-love	Alabama	When We Make Love
alain-barriere--elle-etait-si-jolie	Alain Barriere	Elle etait si jolie
alain-barriere--emporte-moi	Alain Barriere	Emporte-moi
alain-barriere--ma-vie	Alain Barriere	Ma vie
alain-barriere--rien-qu-un-homme	Alain Barriere	Rien qu'un homme
alain-barriere--tu-t-en-vas	Alain Barriere	Tu t'en vas
alain-bashung--osez-josephine	Alain Bashung	Osez Josephine
alain-chamfort--manureva	Alain Chamfort	Manureva
alain-chamfort--souris-puisque-c-est-grave	Alain Chamfort	Souris puisque c'est grave
alain-souchon--allo-maman-bobo	Alain Souchon	Allo ! maman, bobo
alain-souchon--au-ras-des-paquerettes	Alain Souchon	Au ras des paquerettes
alain-souchon--bidon	Alain Souchon	Bidon
alain-souchon--c-est-comme-vous-voulez	Alain Souchon	C'est comme vous voulez
alain-souchon--foule-sentimentale	Alain Souchon	Foule sentimentale
alain-souchon--jamais-content	Alain Souchon	Jamais content
alain-souchon--l-amour-en-fuite	Alain Souchon	L'amour en fuite
alain-souchon--le-baiser	Alain Souchon	Le baiser
alain-souchon--poulaillers-song	Alain Souchon	Poulaillers' song
alain-souchon--quand-j-serai-ko	Alain Souchon	Quand j'serai KO
alain-souchon--rame	Alain Souchon	Rame
alain-souchon--rive-gauche	Alain Souchon	Rive gauche
alain-souchon--s-asseoir-par-terre	Alain Souchon	S'asseoir par terre
alain-souchon--sous-les-jupes-des-filles	Alain Souchon	Sous les jupes des filles
alain-souchon--ultra-moderne-solitude	Alain Souchon	Ultra Moderne Solitude
alain-souchon--y-a-d-la-rumba-dans-l-air	Alain Souchon	Y'a d'la rumba dans l'air
alan-jackson--chattahoochee	Alan Jackson	Chattahoochee
alan-jackson--don-t-rock-the-jukebox	Alan Jackson	Don't Rock the Jukebox
alan-jackson--drive	Alan Jackson	Drive (For Daddy Gene)
alan-jackson--gone-country	Alan Jackson	Gone Country
alan-jackson--home	Alan Jackson	Home
alan-jackson--i-don-t-even-know-your-name	Alan Jackson	I Don't Even Know Your Name
alan-jackson--i-ll-try	Alan Jackson	I'll Try
alan-jackson--it-must-be-love	Alan Jackson	It Must Be Love
alan-jackson--little-bitty	Alan Jackson	Little Bitty
alan-jackson--livin-on-love	Alan Jackson	Livin' on Love
alan-jackson--love-s-got-a-hold-on-you	Alan Jackson	Love's Got a Hold on You
alan-jackson--mercury-blues	Alan Jackson	Mercury Blues
alan-jackson--summertime-blues	Alan Jackson	Summertime Blues
alan-jackson--tall-tall-trees	Alan Jackson	Tall, Tall Trees
alan-jackson--where-were-you	Alan Jackson	Where Were You (When the World Stopped Turning) (live, CMA Awards)
alan-jackson--who-s-cheatin-who	Alan Jackson	Who's Cheatin' Who
alan-jackson--you-can-t-have-it-all	Alan Jackson	(Who Says) You Can't Have It All
alan-o-day--undercover-angel	Alan O'Day	Undercover Angel
alan-parsons--ammonia-avenue	Alan Parsons	Ammonia Avenue
alan-parsons--damned-if-i-do	Alan Parsons	Damned If I Do
alan-parsons--don-t-answer-me	Alan Parsons	Don't Answer Me
alan-parsons--don-t-let-it-show	Alan Parsons	Don't Let It Show
alan-parsons--eye-in-the-sky	Alan Parsons	Eye In The Sky
alan-parsons--games-people-play	Alan Parsons	Games People Play
alan-parsons--i-wouldn-t-want-to-be-like-you	Alan Parsons	I Wouldn't Want To Be Like You
alan-parsons--prime-time	Alan Parsons	Prime Time
alan-parsons--the-turn-of-a-friendly-card	Alan Parsons	The Turn of a Friendly Card
alan-parsons--time	Alan Parsons	Time
alanis-morissette--all-i-really-want	Alanis Morissette	All I Really Want
alanis-morissette--are-you-still-mad	Alanis Morissette	Are You Still Mad
alanis-morissette--baba	Alanis Morissette	Baba
alanis-morissette--hand-in-my-pocket	Alanis Morissette	Hand in My Pocket
alanis-morissette--head-over-feet	Alanis Morissette	Head Over Feet
alanis-morissette--heart-of-the-house	Alanis Morissette	Heart of the House
alanis-morissette--ironic	Alanis Morissette	Ironic
alanis-morissette--joining-you	Alanis Morissette	Joining You
alanis-morissette--king-of-pain	Alanis Morissette	King of Pain
alanis-morissette--mary-jane	Alanis Morissette	Mary Jane
alanis-morissette--right-through-you	Alanis Morissette	Right Through You
alanis-morissette--thank-u	Alanis Morissette	Thank U
alanis-morissette--that-i-would-be-good	Alanis Morissette	That I Would Be Good
alanis-morissette--the-couch	Alanis Morissette	The Couch
alanis-morissette--uninvited	Alanis Morissette	Uninvited
alanis-morissette--unsent	Alanis Morissette	Unsent
alanis-morissette--ur	Alanis Morissette	UR
alanis-morissette--you-learn	Alanis Morissette	You Learn
alanis-morissette--you-oughta-know	Alanis Morissette	You Oughta Know
alannah-myles--black-velvet	Alannah Myles	Black Velvet
albert-hammond--it-never-rains-in-southern-californa	Albert Hammond	It Never Rains in Southern Californa
albert-hammond--it-never-rains-in-southern-california	Albert Hammond	It Never Rains In Southern California
albert-west--for-the-good-times	Albert West	For the Good Times
alberti--de-glimlach-van-een-kind	Alberti	De glimlach van een kind
alberti--niemand-laat-zijn-eigen-kind-alleen	Alberti	Niemand laat zijn eigen kind alleen
alberto-fortis--figlio-di-niente	Alberto Fortis	Figlio di niente
alberto-fortis--milano-e-vincenzo	Alberto Fortis	Milano e Vincenzo
alberto-fortis--settembre	Alberto Fortis	Settembre
alexander-o-neal--criticize	Alexander O'Neal	Criticize
alexander-peter--hier-ist-ein-mensch	Alexander Peter	Hier ist ein Mensch
alexandra--sehnsucht	Alexandra	Sehnsucht (Das Lied der Taiga)
alexia--goodbye	Alexia	Goodbye
alexia--happy	Alexia	Happy
alexia--uh-lalala	Alexia	Uh lalala
alice--gemini-0-eternal	Alice	GEMINI-0-eternal
alice--gnossienne-n-1	Alice	Gnossienne n. 1
alice--una-notte-speciale	Alice	Una Notte Speciale
alice-cooper--be-my-lover	Alice Cooper	Be My Lover
alice-cooper--billion-dollar-babies	Alice Cooper	Billion Dollar Babies
alice-cooper--caught-in-a-dream	Alice Cooper	Caught in a Dream
alice-cooper--eighteen	Alice Cooper	Eighteen
alice-cooper--elected	Alice Cooper	Elected
alice-cooper--hello-hooray	Alice Cooper	Hello Hooray
alice-cooper--hey-stoopid	Alice Cooper	Hey Stoopid
alice-cooper--how-you-gonna-see-me-now	Alice Cooper	How You Gonna See Me Now
alice-cooper--muscle-of-love	Alice Cooper	Muscle of Love
alice-cooper--no-more-mr-nice-guy	Alice Cooper	No More Mr Nice Guy
alice-cooper--only-woman-bleed	Alice Cooper	Only Woman Bleed
alice-cooper--only-women-bleed	Alice Cooper	Only Women Bleed
alice-cooper--poison	Alice Cooper	Poison
alice-cooper--school-s-out	Alice Cooper	School's Out
alice-cooper--you-and-me	Alice Cooper	You and Me
alice-in-chains--angry-chair	Alice in Chains	Angry Chair
alice-in-chains--brother	Alice in Chains	Brother
alice-in-chains--dam-that-river	Alice in Chains	Dam That River
alice-in-chains--don-t-follow	Alice in Chains	Don't Follow
alice-in-chains--heaven-beside-you	Alice in Chains	Heaven Beside You
alice-in-chains--i-stay-away	Alice in Chains	I Stay Away
alice-in-chains--killer-is-me	Alice in Chains	Killer Is Me
alice-in-chains--man-in-a-box	Alice in Chains	Man in a Box (live)
alice-in-chains--no-excuses	Alice in Chains	No Excuses
alice-in-chains--nutshell	Alice in Chains	Nutshell
alice-in-chains--over-now	Alice in Chains	Over Now
alice-in-chains--rooster	Alice in Chains	Rooster
alice-in-chains--sludge-factory	Alice in Chains	Sludge Factory
alice-in-chains--them-bones	Alice in Chains	Them Bones
alice-in-chains--we-die-young	Alice in Chains	We Die Young
alice-in-chains--what-the-hell-have-i	Alice in Chains	What the Hell Have I
alice-in-chains--would	Alice in Chains	Would
alien-ant-farm--smooth-criminal	Alien Ant Farm	Smooth Criminal
alison-moyet--all-cried-out	Alison Moyet	All Cried Out
alison-moyet--that-ole-devil-called-love	Alison Moyet	That Ole Devil Called Love
alison-moyet--weak-in-the-presence-of-beauty	Alison Moyet	Weak in the Presence of Beauty
alive--tighter-tighter	Alive	Tighter, Tighter
alizee--moi-lolita	Alizee	Moi... Lolita
all-4-one--i-can-love-you-like-that	All-4-One	I Can Love You Like That
all-4-one--i-swear	All-4-One	I Swear
all-saints--black-coffee	All Saints	Black Coffee
all-saints--bootie-call	All Saints	Bootie Call
all-saints--i-know-where-it-s-at	All Saints	I Know Where It's At
all-saints--lady-marmalade	All Saints	Lady Marmalade
all-saints--never-ever	All Saints	Never Ever
all-saints--pure-shoes	All Saints	Pure Shoes
all-saints--under-the-bridge	All Saints	Under the Bridge
allan-sherman--hello-mudduh-hello-fadduh	Allan Sherman	Hello Mudduh, Hello Fadduh! (A Letter from Camp)
allan-theo--lola	Allan Theo	Lola
allen-toussaint--whirlaway	Allen Toussaint	Whirlaway
alliage--baila	Alliage	Baila
alliage--cruel-summer	Alliage	Cruel Summer
alliage--le-temps-qui-court	Alliage	Le temps qui court
alliage--lucy	Alliage	Lucy
alliage--te-garder-pres-de-moi	Alliage	Te garder pres de moi (feat.Boyzone)
allure--all-cried-out	Allure	All Cried Out
alma-cogan--tennessee-waltz	Alma Cogan	Tennessee Waltz
alpenrebellen--die-leut-am-land	Alpenrebellen	Die Leut' am Land
alpentrio-tirol--alpentrio-hitmix-alpentrio-medley-hast-a-bisserl-zeit-fur-mi	Alpentrio Tirol	Alpentrio Hitmix: Alpentrio-Medley   Hast a bisserl Zeit fur mi   Tepperter Bua   Hallo kleine Traumfrau   Vergiss die Liebe nicht   Ich freu' mich schon auf dich   Ich hab was ganz lieb's traumt von dir   Geheimnis der Johannesnacht   Engel v. Ma
alpert--a-banda	Alpert	A Banda
alpert--a-taste-of-honey	Alpert	A Taste of Honey
alpert--so-what-s-new	Alpert	So What's New?
alpert--south-of-the-border	Alpert	South of the Border
alpert--tijuana-taxi	Alpert	Tijuana Taxi
alphaville--big-in-japan	Alphaville	Big in Japan
alphaville--forever-young	Alphaville	Forever Young
alunni-del-sole--isa-isabella	Alunni del Sole	Isa... Isabella
alvin-stardust--i-feel-like-buddy-holly	Alvin Stardust	I Feel Like Buddy Holly
amanda-mcbroom--the-rose	Amanda McBroom	The Rose
amber--this-is-your-night	Amber	This Is Your Night
ambra--aspettavo-te	Ambra	Aspettavo te
ambra--lunes-martes	Ambra	Lunes Martes
ambra--ritmo-vitale	Ambra	Ritmo vitale
ambra--t-appartengo	Ambra	T'appartengo
amedeo-minghi--1950	Amedeo Minghi	1950
amedeo-minghi--cantare-e-d-amore	Amedeo Minghi	Cantare e d'amore
amedeo-minghi--decenni	Amedeo Minghi	Decenni
amedeo-minghi--e-questo-il-vivere	Amedeo Minghi	E' questo il vivere
amedeo-minghi--futuro-come-te	Amedeo Minghi	Futuro come te
amedeo-minghi--gelosi-amori-miei	Amedeo Minghi	Gelosi amori miei
amedeo-minghi--i-ricordi-del-cuore	Amedeo Minghi	I ricordi del cuore
amedeo-minghi--l-immenso	Amedeo Minghi	L'immenso
amedeo-minghi--la-vita-mia	Amedeo Minghi	La vita mia
amedeo-minghi--nene	Amedeo Minghi	Nene
amedeo-minghi--notte-bella-magnifica	Amedeo Minghi	Notte bella magnifica
amedeo-minghi--un-uomo-venuto-da-lontano	Amedeo Minghi	Un uomo venuto da lontano
amedeo-minghi--vattene-amore	Amedeo Minghi	Vattene amore (feat. Amedeo Minghi)
america--a-horse-with-no-name	America	A Horse With No Name
america--daisy-jane	America	Daisy Jane
america--i-need-you	America	I Need You
america--lonely-people	America	Lonely People
america--muskrat-love	America	Muskrat Love
america--sandman	America	Sandman
america--sister-golden-hair	America	Sister Golden Hair
america--tin-man	America	Tin Man
america--ventura-highway	America	Ventura Highway
america--you-can-do-magic	America	You Can Do Magic
american-made--american-made	American Made	American Made
amie-comeaux--blue	Amie Comeaux	Blue
amii-stewart--knock-on-wood	Amii Stewart	Knock on Wood
amina--le-dernier-qui-a-parle	Amina	Le Dernier qui a parle
amos-tori--1000-oceans	Amos, Tori	1000 Oceans
amos-tori--bliss	Amos, Tori	Bliss
amos-tori--china	Amos, Tori	China
amos-tori--concertina	Amos, Tori	Concertina
amos-tori--cornflake-girl	Amos, Tori	Cornflake Girl
amos-tori--crucify	Amos, Tori	Crucify
amos-tori--daisy-dead-petals	Amos, Tori	Daisy Dead Petals
amos-tori--flying-dutchman	Amos, Tori	Flying Dutchman
amos-tori--here-in-my-head	Amos, Tori	Here in My Head
amos-tori--humpty-dumpty	Amos, Tori	Humpty Dumpty
amos-tori--iieee	Amos, Tori	iieee (remixed version)
amos-tori--jackies-strength	Amos, Tori	Jackies Strength
amos-tori--josephine	Amos, Tori	Josephine
amos-tori--northern-lad	Amos, Tori	Northern Lad
amos-tori--ode-to-the-banana-king	Amos, Tori	Ode to the Banana King
amos-tori--playboy-mommy	Amos, Tori	Playboy Mommy
amos-tori--raspberry-swirl	Amos, Tori	Raspberry Swirl
amos-tori--smells-like-teen-spirit	Amos, Tori	Smells Like Teen Spirit
amos-tori--spark	Amos, Tori	Spark
amos-tori--the-wrong-band	Amos, Tori	The Wrong Band
amos-tori--winter	Amos, Tori	Winter
amy-grant--baby-baby	Amy Grant	Baby Baby
amy-grant--big-yellow-taxi	Amy Grant	Big Yellow Taxi
amy-grant--doubly-good-to-you	Amy Grant	Doubly Good to You
amy-grant--el-shaddai	Amy Grant	El Shaddai
amy-grant--every-heartbeat	Amy Grant	Every Heartbeat
amy-grant--everywhere-i-go	Amy Grant	Everywhere I Go
amy-grant--heirlooms	Amy Grant	Heirlooms
amy-grant--i-will-remember-you	Amy Grant	I Will Remember You
amy-grant--stay-for-a-while	Amy Grant	Stay for a While
amy-grant--stay-for-awhile	Amy Grant	Stay for Awhile
amy-grant--that-s-what-love-is-for	Amy Grant	That's What Love Is For
amy-grant--the-next-time-i-fall	Amy Grant	The Next Time I Fall
ana-belen--desde-mi-libertad	Ana Belen	Desde mi libertad
ana-caram--la-cumbia	Ana Caram	La Cumbia
anastacia--cowboys-kisses	Anastacia	Cowboys & Kisses
anastacia--i-ask-of-you	Anastacia	I Ask of You
anastacia--i-m-outta-love	Anastacia	I'm Outta Love
anastacia--love-is-alive	Anastacia	Love Is Alive
anastacia--not-that-kind	Anastacia	Not That Kind
anastacia--one-day-in-your-life	Anastacia	One Day in Your Life
anastacia--paid-my-dues	Anastacia	Paid My Dues
anastacia--why-d-you-lie-to-me	Anastacia	Why'd You Lie To Me
andre-adriano--vira-e-mexe	Andre & Adriano	Vira e mexe
andre-brasseur--early-bird-satellite	Andre Brasseur	Early Bird Satellite
andre-hazes--de-hoogste-tijd	Andre Hazes	De hoogste tijd
